,Player,PER
0,Álex Abrines,9.0
1,Quincy Acy,8.2
2,Steven Adams,20.6
3,Bam Adebayo,15.7
4,Arron Afflalo,5.8
5,Cole Aldrich,6.0
6,LaMarcus Aldridge,25.0
7,Jarrett Allen,17.5
8,Kadeem Allen,2.6
9,Tony Allen,8.7
10,Al-Farouq Aminu,12.0
11,Justin Anderson,13.0
12,Kyle Anderson,15.9
13,Ryan Anderson,12.6
14,Ike Anigbogu,21.6
15,Giannis Antetokounmpo,27.3
16,Carmelo Anthony,12.7
17,OG Anunoby,10.0
18,Ryan Arcidiacono,7.3
19,Trevor Ariza,11.8
20,Darrell Arthur,8.4
21,Jamel Artis,6.9
22,Ömer Aşık,3.1
23,D.J. Augustin,15.4
24,Luke Babbitt,9.8
25,Dwayne Bacon,5.8
26,Ron Baker,9.3
27,Wade Baldwin,16.6
28,Lonzo Ball,12.5
29,J.J. Barea,17.8
30,Harrison Barnes,15.8
31,Will Barton,16.2
32,Nicolas Batum,14.4
33,Jerryd Bayless,7.5
34,Aron Baynes,12.0
35,Kent Bazemore,14.5
36,Bradley Beal,18.4
37,Malik Beasley,9.0
38,Michael Beasley,17.8
39,Marco Belinelli,14.1
40,Jordan Bell,18.0
41,DeAndre' Bembry,7.6
42,Dragan Bender,7.1
43,Dāvis Bertāns,14.1
44,Patrick Beverley,12.4
45,Khem Birch,16.4
46,Jabari Bird,12.1
47,Bismack Biyombo,14.1
48,Nemanja Bjelica,12.6
49,Tarik Black,14.3
50,Antonio Blakeney,10.1
51,Eric Bledsoe,19.7
52,Vander Blue,-1.8
53,Bogdan Bogdanović,13.5
54,Bojan Bogdanović,13.9
55,Andrew Bogut,10.9
56,Joel Bolomboy,11.7
57,Devin Booker,18.1
58,Trevor Booker,14.9
59,Chris Boucher,-28.5
60,Avery Bradley,9.6
61,Tony Bradley,9.5
62,Corey Brewer,11.2
63,Malcolm Brogdon,14.3
64,Aaron Brooks,9.8
65,Dillon Brooks,9.8
66,MarShon Brooks,26.1
67,Anthony Brown,41.9
68,Bobby Brown,5.5
69,Jaylen Brown,13.6
