"","Season","EventName","EventDate","Section","AverageTicketPrice"
"1","2020-21","Cavaliers vs. Memphis Grizzlies",2021-01-11 19:00:00,"Club",129.61
"2","2020-21","Cavaliers vs. Utah Jazz",2021-01-12 19:30:00,"Club",119.45
"3","2020-21","Cavaliers vs. New York Knicks",2021-01-15 19:30:00,"Club",145.95
"4","2020-21","Cavaliers vs. Brooklyn Nets",2021-01-20 19:00:00,"Club",157.87
"5","2020-21","Cavaliers vs. Brooklyn Nets",2021-01-22 19:30:00,"Club",162.18
"6","2020-21","Cavaliers vs. Los Angeles Lakers",2021-01-25 20:00:00,"Club",208.91
"7","2020-21","Cavaliers vs. Detroit Pistons",2021-01-27 19:00:00,"Club",117.18
"8","2020-21","Cavaliers vs. Minnesota Timberwolves",2021-02-01 20:00:00,"Club",110.43
"9","2020-21","Cavaliers vs. Los Angeles Clippers",2021-02-03 20:00:00,"Club",131.5
"10","2020-21","Cavaliers vs. Milwaukee Bucks",2021-02-05 19:30:00,"Club",145.57
"11","2020-21","Cavaliers vs. Milwaukee Bucks",2021-02-06 20:00:00,"Club",148.84
"12","2020-21","Cavaliers vs. Denver Nuggets",2021-02-19 19:00:00,"Club",109.83
"13","2020-21","Cavaliers vs. Oklahoma City Thunder",2021-02-21 19:00:00,"Club",98.26
"14","2020-21","Cavaliers vs. Atlanta Hawks",2021-02-23 19:00:00,"Club",95.55
"15","2020-21","Cavaliers vs. Houston Rockets",2021-02-24 19:30:00,"Club",100.23
"16","2020-21","Cavaliers vs. Indiana Pacers",2021-03-03 19:00:00,"Club",114.12
"17","2020-21","Cavaliers vs. Boston Celtics",2021-03-17 20:00:00,"Club",86.69
"18","2020-21","Cavaliers vs. San Antonio Spurs",2021-03-19 19:30:00,"Club",91.75
"19","2020-21","Cavaliers vs. Toronto Raptors",2021-03-21 19:00:00,"Club",87.75
"20","2020-21","Cavaliers vs. Sacramento Kings",2021-03-22 19:30:00,"Club",96.14
"21","2020-21","Cavaliers vs. Philadelphia 76ers",2021-04-01 19:00:00,"Club",109.24
"22","2020-21","Cavaliers vs. Toronto Raptors",2021-04-10 19:30:00,"Club",99.09
"23","2020-21","Cavaliers vs. New Orleans Pelicans",2021-04-11 19:00:00,"Club",115.76
"24","2020-21","Cavaliers vs. Golden State Warriors",2021-04-15 20:00:00,"Club",116.64
"25","2020-21","Cavaliers vs. Chicago Bulls",2021-04-21 19:00:00,"Club",94.57
"26","2020-21","Cavaliers vs. Orlando Magic",2021-04-28 19:00:00,"Club",89.89
"27","2020-21","Cavaliers vs. Washington Wizards",2021-04-30 19:30:00,"Club",117.47
"28","2020-21","Cavaliers vs. Miami Heat",2021-05-01 20:00:00,"Club",125.77
"29","2020-21","Cavaliers vs. Phoenix Suns",2021-05-04 19:00:00,"Club",98.33
"30","2020-21","Cavaliers vs. Portland Trail Blazers",2021-05-05 19:30:00,"Club",98.78
"31","2020-21","Cavaliers vs. Dallas Mavericks",2021-05-09 19:00:00,"Club",109.88
"32","2020-21","Cavaliers vs. Indiana Pacers",2021-05-10 19:30:00,"Club",103.96
"33","2020-21","Cavaliers vs. Boston Celtics",2021-05-12 20:00:00,"Club",103.67
"34","2021-22","Cavaliers vs. Indiana Pacers",2021-10-08 19:00:00,"Club",33.35
"35","2021-22","Cavaliers vs. Chicago Bulls",2021-10-10 19:00:00,"Club",34.33
"36","2021-22","Cavaliers vs. Charlotte Hornets",2021-10-22 19:00:00,"Club",117.01
"37","2021-22","Cavaliers vs. Atlanta Hawks",2021-10-23 18:00:00,"Club",111.22
"38","2021-22","Cavaliers vs. Portland Trail Blazers",2021-11-03 19:00:00,"Club",77.01
"39","2021-22","Cavaliers vs. Washington Wizards",2021-11-10 19:00:00,"Club",85.3
"40","2021-22","Cavaliers vs. Detroit Pistons",2021-11-12 19:30:00,"Club",102.04
"41","2021-22","Cavaliers vs. Boston Celtics",2021-11-13 20:00:00,"Club",104.59
"42","2021-22","Cavaliers vs. Boston Celtics",2021-11-15 19:00:00,"Club",96.92
"43","2021-22","Cavaliers vs. Golden State Warriors",2021-11-18 19:30:00,"Club",136.95
"44","2021-22","Cavaliers vs. Brooklyn Nets",2021-11-22 19:00:00,"Club",229.85
"45","2021-22","Cavaliers vs. Phoenix Suns",2021-11-24 19:00:00,"Club",139.57
"46","2021-22","Cavaliers vs. Orlando Magic",2021-11-27 20:00:00,"Club",104.09
"47","2021-22","Cavaliers vs. Utah Jazz",2021-12-05 15:30:00,"Club",103.09
"48","2021-22","Cavaliers vs. Chicago Bulls",2021-12-08 19:00:00,"Club",95.14
"49","2021-22","Cavaliers vs. Sacramento Kings",2021-12-11 20:00:00,"Club",70.69
"50","2021-22","Cavaliers vs. Miami Heat",2021-12-13 19:00:00,"Club",108.59
"51","2021-22","Cavaliers vs. Houston Rockets",2021-12-15 19:00:00,"Club",108.15
"52","2021-22","Cavaliers vs. Toronto Raptors",2021-12-26 18:00:00,"Club",104.71
"53","2021-22","Cavaliers vs. Atlanta Hawks",2021-12-31 19:30:00,"Club",147.3
"54","2021-22","Cavaliers vs. Indiana Pacers",2022-01-02 18:00:00,"Club",96.09
"55","2021-22","Cavaliers vs. Memphis Grizzlies",2022-01-04 19:00:00,"Club",66.04
"56","2021-22","Cavaliers vs. Brooklyn Nets",2022-01-17 15:00:00,"Club",244.61
"57","2021-22","Cavaliers vs. Oklahoma City Thunder",2022-01-22 20:00:00,"Club",76
"58","2021-22","Cavaliers vs. New York Knicks",2022-01-24 19:00:00,"Club",110.02
"59","2021-22","Cavaliers vs. Milwaukee Bucks",2022-01-26 19:00:00,"Club",235.09
"60","2021-22","Cavaliers vs. New Orleans Pelicans",2022-01-31 19:00:00,"Club",95.43
"61","2021-22","Cavaliers vs. Indiana Pacers",2022-02-06 18:00:00,"Club",100.3
"62","2021-22","Cavaliers vs. San Antonio Spurs",2022-02-09 19:00:00,"Club",68.23
"63","2021-22","Cavaliers vs. Washington Wizards",2022-02-26 20:00:00,"Club",113.27
"64","2021-22","Cavaliers vs. Minnesota Timberwolves",2022-02-28 19:00:00,"Club",73.23
"65","2021-22","Cavaliers vs. Charlotte Hornets",2022-03-02 19:00:00,"Club",78.53
"66","2021-22","Cavaliers vs. Toronto Raptors",2022-03-06 19:30:00,"Club",109.71
"67","2021-22","Cavaliers vs. Los Angeles Clippers",2022-03-14 19:00:00,"Club",115.59
"68","2021-22","Cavaliers vs. Philadelphia 76ers",2022-03-16 19:00:00,"Club",161.81
"69","2021-22","Cavaliers vs. Denver Nuggets",2022-03-18 19:30:00,"Club",115.7
"70","2021-22","Cavaliers vs. Detroit Pistons",2022-03-19 20:00:00,"Club",115.7
"71","2021-22","Cavaliers vs. Los Angeles Lakers",2022-03-21 19:00:00,"Club",302.26
"72","2021-22","Cavaliers vs. Chicago Bulls",2022-03-26 20:00:00,"Club",163.3
"73","2021-22","Cavaliers vs. Orlando Magic",2022-03-28 19:00:00,"Club",76.82
"74","2021-22","Cavaliers vs. Dallas Mavericks",2022-03-30 19:00:00,"Club",165.98
"75","2021-22","Cavaliers vs. Philadelphia 76ers",2022-04-03 18:00:00,"Club",173.21
"76","2021-22","Cavaliers vs. Milwaukee Bucks",2022-04-10 15:30:00,"Club",166.23
"77","2022-23","Cavaliers vs. Philadelphia 76ers",2022-10-10 19:00:00,"Club",34.25
"78","2022-23","Cavaliers vs. Atlanta Hawks",2022-10-12 19:00:00,"Club",33.25
"79","2022-23","Cavaliers vs. Washington Wizards",2022-10-23 19:00:00,"Club",157.13
"80","2022-23","Cavaliers vs. Orlando Magic",2022-10-26 19:00:00,"Club",117.88
"81","2022-23","Cavaliers vs. New York Knicks",2022-10-30 18:00:00,"Club",95.88
"82","2022-23","Cavaliers vs. Boston Celtics",2022-11-02 19:30:00,"Club",154.42
"83","2022-23","Cavaliers vs. Minnesota Timberwolves",2022-11-13 18:00:00,"Club",133.3
"84","2022-23","Cavaliers vs. Charlotte Hornets",2022-11-18 19:30:00,"Club",96.23
"85","2022-23","Cavaliers vs. Miami Heat",2022-11-20 19:00:00,"Club",154.89
"86","2022-23","Cavaliers vs. Atlanta Hawks",2022-11-21 19:00:00,"Club",92.91
"87","2022-23","Cavaliers vs. Portland Trail Blazers",2022-11-23 19:00:00,"Club",164.99
"88","2022-23","Cavaliers vs. Philadelphia 76ers",2022-11-30 19:00:00,"Club",150.87
"89","2022-23","Cavaliers vs. Orlando Magic",2022-12-02 19:30:00,"Club",137.45
"90","2022-23","Cavaliers vs. Los Angeles Lakers",2022-12-06 19:30:00,"Club",350.2
"91","2022-23","Cavaliers vs. Sacramento Kings",2022-12-09 19:30:00,"Club",93.53
"92","2022-23","Cavaliers vs. Oklahoma City Thunder",2022-12-10 19:30:00,"Club",129.22
"93","2022-23","Cavaliers vs. Indiana Pacers",2022-12-16 19:30:00,"Club",93.64
"94","2022-23","Cavaliers vs. Dallas Mavericks",2022-12-17 20:00:00,"Club",162.75
"95","2022-23","Cavaliers vs. Utah Jazz",2022-12-19 19:00:00,"Club",137.02
"96","2022-23","Cavaliers vs. Milwaukee Bucks",2022-12-21 19:00:00,"Club",161.88
"97","2022-23","Cavaliers vs. Toronto Raptors",2022-12-23 19:30:00,"Club",161.8
"98","2022-23","Cavaliers vs. Brooklyn Nets",2022-12-26 19:00:00,"Club",328.86
"99","2022-23","Cavaliers vs. Chicago Bulls",2023-01-02 19:00:00,"Club",153.42
"100","2022-23","Cavaliers vs. Phoenix Suns",2023-01-04 19:00:00,"Club",152.96
"101","2022-23","Cavaliers vs. New Orleans Pelicans",2023-01-16 15:00:00,"Club",160.97
"102","2020-21","Cavaliers vs. Charlotte Hornets",2020-12-23 19:00:00,"Floor",509
"103","2020-21","Cavaliers vs. Philadelphia 76ers",2020-12-27 19:30:00,"Floor",479
"104","2020-21","Cavaliers vs. New York Knicks",2020-12-29 19:00:00,"Floor",479
"105","2020-21","Cavaliers vs. Memphis Grizzlies",2021-01-11 19:00:00,"Floor",355
"106","2020-21","Cavaliers vs. Utah Jazz",2021-01-12 19:30:00,"Floor",355
"107","2020-21","Cavaliers vs. New York Knicks",2021-01-15 19:30:00,"Floor",435
"108","2020-21","Cavaliers vs. Brooklyn Nets",2021-01-20 19:00:00,"Floor",479
"109","2020-21","Cavaliers vs. Brooklyn Nets",2021-01-22 19:30:00,"Floor",479
"110","2020-21","Cavaliers vs. Los Angeles Lakers",2021-01-25 20:00:00,"Floor",549
"111","2020-21","Cavaliers vs. Detroit Pistons",2021-01-27 19:00:00,"Floor",355
"112","2020-21","Cavaliers vs. Minnesota Timberwolves",2021-02-01 20:00:00,"Floor",355.98
"113","2020-21","Cavaliers vs. Los Angeles Clippers",2021-02-03 20:00:00,"Floor",437.57
"114","2020-21","Cavaliers vs. Milwaukee Bucks",2021-02-05 19:30:00,"Floor",479
"115","2020-21","Cavaliers vs. Milwaukee Bucks",2021-02-06 20:00:00,"Floor",479
"116","2020-21","Cavaliers vs. Denver Nuggets",2021-02-19 19:00:00,"Floor",357.72
"117","2020-21","Cavaliers vs. Oklahoma City Thunder",2021-02-21 19:00:00,"Floor",356.09
"118","2020-21","Cavaliers vs. Atlanta Hawks",2021-02-23 19:00:00,"Floor",355.98
"119","2020-21","Cavaliers vs. Houston Rockets",2021-02-24 19:30:00,"Floor",355
"120","2020-21","Cavaliers vs. Indiana Pacers",2021-03-03 19:00:00,"Floor",355
"121","2020-21","Cavaliers vs. Boston Celtics",2021-03-17 20:00:00,"Floor",356.02
"122","2020-21","Cavaliers vs. San Antonio Spurs",2021-03-19 19:30:00,"Floor",355.83
"123","2020-21","Cavaliers vs. Toronto Raptors",2021-03-21 19:00:00,"Floor",355
"124","2020-21","Cavaliers vs. Sacramento Kings",2021-03-22 19:30:00,"Floor",355
"125","2020-21","Cavaliers vs. Philadelphia 76ers",2021-04-01 19:00:00,"Floor",369.55
"126","2020-21","Cavaliers vs. Toronto Raptors",2021-04-10 19:30:00,"Floor",493.8
"127","2020-21","Cavaliers vs. New Orleans Pelicans",2021-04-11 19:00:00,"Floor",774.58
"128","2020-21","Cavaliers vs. Golden State Warriors",2021-04-15 20:00:00,"Floor",526.11
"129","2020-21","Cavaliers vs. Chicago Bulls",2021-04-21 19:00:00,"Floor",497.56
"130","2020-21","Cavaliers vs. Orlando Magic",2021-04-28 19:00:00,"Floor",509.42
"131","2020-21","Cavaliers vs. Washington Wizards",2021-04-30 19:30:00,"Floor",583.04
"132","2020-21","Cavaliers vs. Miami Heat",2021-05-01 20:00:00,"Floor",802.59
"133","2020-21","Cavaliers vs. Phoenix Suns",2021-05-04 19:00:00,"Floor",507.19
"134","2020-21","Cavaliers vs. Portland Trail Blazers",2021-05-05 19:30:00,"Floor",519.89
"135","2020-21","Cavaliers vs. Dallas Mavericks",2021-05-09 19:00:00,"Floor",599.88
"136","2020-21","Cavaliers vs. Indiana Pacers",2021-05-10 19:30:00,"Floor",503.78
"137","2020-21","Cavaliers vs. Boston Celtics",2021-05-12 20:00:00,"Floor",503.9
"138","2021-22","Cavaliers vs. Indiana Pacers",2021-10-08 19:00:00,"Floor",148.51
"139","2021-22","Cavaliers vs. Chicago Bulls",2021-10-10 19:00:00,"Floor",151.74
"140","2021-22","Cavaliers vs. Charlotte Hornets",2021-10-22 19:00:00,"Floor",508.21
"141","2021-22","Cavaliers vs. Atlanta Hawks",2021-10-23 18:00:00,"Floor",503.9
"142","2021-22","Cavaliers vs. Portland Trail Blazers",2021-11-03 19:00:00,"Floor",343.87
"143","2021-22","Cavaliers vs. Washington Wizards",2021-11-10 19:00:00,"Floor",498.17
"144","2021-22","Cavaliers vs. Detroit Pistons",2021-11-12 19:30:00,"Floor",498.74
"145","2021-22","Cavaliers vs. Boston Celtics",2021-11-13 20:00:00,"Floor",511.51
"146","2021-22","Cavaliers vs. Boston Celtics",2021-11-15 19:00:00,"Floor",503.07
"147","2021-22","Cavaliers vs. Golden State Warriors",2021-11-18 19:30:00,"Floor",828.89
"148","2021-22","Cavaliers vs. Brooklyn Nets",2021-11-22 19:00:00,"Floor",1498.97
