,Season,EventName,EventDate,Club,Floor,Lower Bowl,Mezzanine,Upper Bowl
0,2020-21,Cavaliers vs. Memphis Grizzlies,2021-01-11 19:00:00,129.61,355.0,143.08,41.87,14.1
1,2020-21,Cavaliers vs. Utah Jazz,2021-01-12 19:30:00,119.45,355.0,113.63,42.7,13.52
2,2020-21,Cavaliers vs. New York Knicks,2021-01-15 19:30:00,145.95,435.0,153.63,62.94,24.39
3,2020-21,Cavaliers vs. Brooklyn Nets,2021-01-20 19:00:00,157.87,479.0,177.56,53.56,31.41
4,2020-21,Cavaliers vs. Brooklyn Nets,2021-01-22 19:30:00,162.18,479.0,164.52,73.33,38.76
5,2020-21,Cavaliers vs. Los Angeles Lakers,2021-01-25 20:00:00,208.91,549.0,173.11,76.97,52.67
6,2020-21,Cavaliers vs. Detroit Pistons,2021-01-27 19:00:00,117.18,355.0,117.39,36.89,12.14
7,2020-21,Cavaliers vs. Minnesota Timberwolves,2021-02-01 20:00:00,110.43,355.98,119.64,47.01,12.63
8,2020-21,Cavaliers vs. Los Angeles Clippers,2021-02-03 20:00:00,131.5,437.57,157.18,55.78,22.13
9,2020-21,Cavaliers vs. Milwaukee Bucks,2021-02-05 19:30:00,145.57,479.0,169.7,67.82,34.58
10,2020-21,Cavaliers vs. Milwaukee Bucks,2021-02-06 20:00:00,148.84,479.0,168.65,67.82,32.49
11,2020-21,Cavaliers vs. Denver Nuggets,2021-02-19 19:00:00,109.83,357.72,75.17,36.3,12.12
12,2020-21,Cavaliers vs. Oklahoma City Thunder,2021-02-21 19:00:00,98.26,356.09,115.57,49.88,12.66
13,2020-21,Cavaliers vs. Atlanta Hawks,2021-02-23 19:00:00,95.55,355.98,115.81,48.66,12.8
14,2020-21,Cavaliers vs. Houston Rockets,2021-02-24 19:30:00,100.23,355.0,114.22,43.04,13.02
15,2020-21,Cavaliers vs. Indiana Pacers,2021-03-03 19:00:00,114.12,355.0,94.99,44.59,12.25
16,2020-21,Cavaliers vs. Boston Celtics,2021-03-17 20:00:00,86.69,356.02,78.63,45.87,12.39
17,2020-21,Cavaliers vs. San Antonio Spurs,2021-03-19 19:30:00,91.75,355.83,99.92,38.01,12.88
18,2020-21,Cavaliers vs. Toronto Raptors,2021-03-21 19:00:00,87.75,355.0,97.48,38.17,11.83
19,2020-21,Cavaliers vs. Sacramento Kings,2021-03-22 19:30:00,96.14,355.0,86.38,31.47,11.21
20,2020-21,Cavaliers vs. Philadelphia 76ers,2021-04-01 19:00:00,109.24,369.55,106.05,43.93,17.14
21,2020-21,Cavaliers vs. Toronto Raptors,2021-04-10 19:30:00,99.09,493.8,104.21,41.87,12.43
22,2020-21,Cavaliers vs. New Orleans Pelicans,2021-04-11 19:00:00,115.76,774.58,123.89,46.02,24.93
23,2020-21,Cavaliers vs. Golden State Warriors,2021-04-15 20:00:00,116.64,526.11,108.45,47.51,20.92
24,2020-21,Cavaliers vs. Chicago Bulls,2021-04-21 19:00:00,94.57,497.56,99.57,39.19,12.24
25,2020-21,Cavaliers vs. Orlando Magic,2021-04-28 19:00:00,89.89,509.42,93.37,32.81,12.48
26,2020-21,Cavaliers vs. Washington Wizards,2021-04-30 19:30:00,117.47,583.04,120.18,46.85,21.0
27,2020-21,Cavaliers vs. Miami Heat,2021-05-01 20:00:00,125.77,802.59,134.98,55.06,26.92
28,2020-21,Cavaliers vs. Phoenix Suns,2021-05-04 19:00:00,98.33,507.19,111.72,42.22,11.86
29,2020-21,Cavaliers vs. Portland Trail Blazers,2021-05-05 19:30:00,98.78,519.89,107.48,41.92,12.27
30,2020-21,Cavaliers vs. Dallas Mavericks,2021-05-09 19:00:00,109.88,599.88,123.18,49.46,21.12
31,2020-21,Cavaliers vs. Indiana Pacers,2021-05-10 19:30:00,103.96,503.78,109.2,41.64,11.28
32,2020-21,Cavaliers vs. Boston Celtics,2021-05-12 20:00:00,103.67,503.9,99.98,42.63,12.14
33,2021-22,Cavaliers vs. Indiana Pacers,2021-10-08 19:00:00,33.35,148.51,29.2,10.29,5.4
34,2021-22,Cavaliers vs. Chicago Bulls,2021-10-10 19:00:00,34.33,151.74,29.69,10.26,5.36
35,2021-22,Cavaliers vs. Charlotte Hornets,2021-10-22 19:00:00,117.01,508.21,96.69,30.17,17.92
36,2021-22,Cavaliers vs. Atlanta Hawks,2021-10-23 18:00:00,111.22,503.9,96.71,29.1,16.63
37,2021-22,Cavaliers vs. Portland Trail Blazers,2021-11-03 19:00:00,77.01,343.87,66.45,21.68,12.38
38,2021-22,Cavaliers vs. Washington Wizards,2021-11-10 19:00:00,85.3,498.17,97.72,23.55,15.19
39,2021-22,Cavaliers vs. Detroit Pistons,2021-11-12 19:30:00,102.04,498.74,92.31,32.79,17.28
40,2021-22,Cavaliers vs. Boston Celtics,2021-11-13 20:00:00,104.59,511.51,100.49,38.71,23.58
41,2021-22,Cavaliers vs. Boston Celtics,2021-11-15 19:00:00,96.92,503.07,88.35,32.42,16.32
42,2021-22,Cavaliers vs. Golden State Warriors,2021-11-18 19:30:00,136.95,828.89,153.07,73.9,27.8
43,2021-22,Cavaliers vs. Brooklyn Nets,2021-11-22 19:00:00,229.85,1498.97,252.89,82.3,40.78
44,2021-22,Cavaliers vs. Phoenix Suns,2021-11-24 19:00:00,139.57,801.95,141.73,71.35,25.71
45,2021-22,Cavaliers vs. Orlando Magic,2021-11-27 20:00:00,104.09,504.1,92.42,32.59,19.7
46,2021-22,Cavaliers vs. Utah Jazz,2021-12-05 15:30:00,103.09,487.61,90.89,37.95,21.8
47,2021-22,Cavaliers vs. Chicago Bulls,2021-12-08 19:00:00,95.14,506.44,91.32,37.4,18.78
48,2021-22,Cavaliers vs. Sacramento Kings,2021-12-11 20:00:00,70.69,346.39,72.6,31.99,16.43
49,2021-22,Cavaliers vs. Miami Heat,2021-12-13 19:00:00,108.59,501.07,94.7,36.45,20.37
50,2021-22,Cavaliers vs. Houston Rockets,2021-12-15 19:00:00,108.15,497.46,85.85,37.66,20.1
51,2021-22,Cavaliers vs. Toronto Raptors,2021-12-26 18:00:00,104.71,499.76,117.02,48.41,25.13
52,2021-22,Cavaliers vs. Atlanta Hawks,2021-12-31 19:30:00,147.3,820.26,147.56,58.21,31.3
53,2021-22,Cavaliers vs. Indiana Pacers,2022-01-02 18:00:00,96.09,500.19,95.59,39.14,22.98
54,2021-22,Cavaliers vs. Memphis Grizzlies,2022-01-04 19:00:00,66.04,342.12,63.87,25.45,15.42
55,2021-22,Cavaliers vs. Brooklyn Nets,2022-01-17 15:00:00,244.61,1466.31,227.35,75.78,48.15
56,2021-22,Cavaliers vs. Oklahoma City Thunder,2022-01-22 20:00:00,76.0,340.86,79.08,29.37,17.06
57,2021-22,Cavaliers vs. New York Knicks,2022-01-24 19:00:00,110.02,498.61,100.77,32.06,20.07
58,2021-22,Cavaliers vs. Milwaukee Bucks,2022-01-26 19:00:00,235.09,1433.41,236.93,83.11,46.19
59,2021-22,Cavaliers vs. New Orleans Pelicans,2022-01-31 19:00:00,95.43,515.58,85.83,31.73,19.35
60,2021-22,Cavaliers vs. Indiana Pacers,2022-02-06 18:00:00,100.3,513.63,101.59,44.99,22.83
61,2021-22,Cavaliers vs. San Antonio Spurs,2022-02-09 19:00:00,68.23,334.09,71.58,28.46,16.22
62,2021-22,Cavaliers vs. Washington Wizards,2022-02-26 20:00:00,113.27,506.93,112.39,39.5,24.47
63,2021-22,Cavaliers vs. Minnesota Timberwolves,2022-02-28 19:00:00,73.23,344.14,73.64,27.39,15.14
64,2021-22,Cavaliers vs. Charlotte Hornets,2022-03-02 19:00:00,78.53,352.14,79.22,39.62,16.01
65,2021-22,Cavaliers vs. Toronto Raptors,2022-03-06 19:30:00,109.71,511.35,98.94,50.86,22.1
66,2021-22,Cavaliers vs. Los Angeles Clippers,2022-03-14 19:00:00,115.59,501.93,110.79,49.77,24.46
67,2021-22,Cavaliers vs. Philadelphia 76ers,2022-03-16 19:00:00,161.81,813.92,156.19,77.39,36.44
68,2021-22,Cavaliers vs. Denver Nuggets,2022-03-18 19:30:00,115.7,522.23,117.57,53.81,23.9
69,2021-22,Cavaliers vs. Detroit Pistons,2022-03-19 20:00:00,115.7,517.83,112.05,55.93,27.21
70,2021-22,Cavaliers vs. Los Angeles Lakers,2022-03-21 19:00:00,302.26,1479.3,296.72,113.47,79.71
71,2021-22,Cavaliers vs. Chicago Bulls,2022-03-26 20:00:00,163.3,809.52,169.74,84.28,37.38
72,2021-22,Cavaliers vs. Orlando Magic,2022-03-28 19:00:00,76.82,337.46,74.09,40.54,18.0
73,2021-22,Cavaliers vs. Dallas Mavericks,2022-03-30 19:00:00,165.98,806.71,150.24,79.75,34.14
74,2021-22,Cavaliers vs. Philadelphia 76ers,2022-04-03 18:00:00,173.21,826.61,174.75,77.79,34.03
75,2021-22,Cavaliers vs. Milwaukee Bucks,2022-04-10 15:30:00,166.23,807.86,166.0,86.78,32.89
76,2022-23,Cavaliers vs. Philadelphia 76ers,2022-10-10 19:00:00,34.25,173.59,32.48,14.22,9.18
77,2022-23,Cavaliers vs. Atlanta Hawks,2022-10-12 19:00:00,33.25,175.56,31.96,11.38,7.03
78,2022-23,Cavaliers vs. Washington Wizards,2022-10-23 19:00:00,157.13,696.13,146.98,83.65,35.01
79,2022-23,Cavaliers vs. Orlando Magic,2022-10-26 19:00:00,117.88,612.63,122.39,49.6,21.26
80,2022-23,Cavaliers vs. New York Knicks,2022-10-30 18:00:00,95.88,402.86,93.84,46.63,21.05
81,2022-23,Cavaliers vs. Boston Celtics,2022-11-02 19:30:00,154.42,694.34,154.67,63.56,30.11
82,2022-23,Cavaliers vs. Minnesota Timberwolves,2022-11-13 18:00:00,133.3,608.02,135.31,56.21,28.18
83,2022-23,Cavaliers vs. Charlotte Hornets,2022-11-18 19:30:00,96.23,407.76,100.64,55.95,22.93
84,2022-23,Cavaliers vs. Miami Heat,2022-11-20 19:00:00,154.89,710.32,153.65,76.15,30.45
85,2022-23,Cavaliers vs. Atlanta Hawks,2022-11-21 19:00:00,92.91,402.3,96.93,49.23,20.32
86,2022-23,Cavaliers vs. Portland Trail Blazers,2022-11-23 19:00:00,164.99,702.29,162.7,84.09,36.01
87,2022-23,Cavaliers vs. Philadelphia 76ers,2022-11-30 19:00:00,150.87,698.69,150.11,64.8,28.31
88,2022-23,Cavaliers vs. Orlando Magic,2022-12-02 19:30:00,137.45,618.16,130.11,53.44,26.82
89,2022-23,Cavaliers vs. Los Angeles Lakers,2022-12-06 19:30:00,350.2,1590.38,360.44,118.36,69.89
90,2022-23,Cavaliers vs. Sacramento Kings,2022-12-09 19:30:00,93.53,398.99,95.01,47.89,20.75
91,2022-23,Cavaliers vs. Oklahoma City Thunder,2022-12-10 19:30:00,129.22,606.79,131.36,63.61,29.05
92,2022-23,Cavaliers vs. Indiana Pacers,2022-12-16 19:30:00,93.64,401.52,96.79,48.66,20.72
93,2022-23,Cavaliers vs. Dallas Mavericks,2022-12-17 20:00:00,162.75,694.09,160.1,84.77,37.95
94,2022-23,Cavaliers vs. Utah Jazz,2022-12-19 19:00:00,137.02,614.47,136.04,63.93,26.75
95,2022-23,Cavaliers vs. Milwaukee Bucks,2022-12-21 19:00:00,161.88,705.37,173.09,90.6,38.24
96,2022-23,Cavaliers vs. Toronto Raptors,2022-12-23 19:30:00,161.8,701.42,157.89,83.42,37.61
97,2022-23,Cavaliers vs. Brooklyn Nets,2022-12-26 19:00:00,328.86,1576.13,345.65,142.99,69.63
98,2022-23,Cavaliers vs. Chicago Bulls,2023-01-02 19:00:00,153.42,703.42,152.05,84.25,31.49
99,2022-23,Cavaliers vs. Phoenix Suns,2023-01-04 19:00:00,152.96,697.64,151.59,75.68,31.33
100,2022-23,Cavaliers vs. New Orleans Pelicans,2023-01-16 15:00:00,160.97,696.45,159.72,91.45,38.77
101,2020-21,Cavaliers vs. Charlotte Hornets,2020-12-23 19:00:00,-1.0,509.0,219.83,128.0,-1
102,2020-21,Cavaliers vs. Philadelphia 76ers,2020-12-27 19:30:00,-1.0,479.0,208.42,127.5,-1
103,2020-21,Cavaliers vs. New York Knicks,2020-12-29 19:00:00,-1.0,479.0,173.94,128.0,-1
