Player,Votes
LeBron James,4620809
Giannis Antetokounmpo,4375747
Luka Dončić,4242980
Kyrie Irving,3881766
Stephen Curry,3861038
Kawhi Leonard,3580531
Derrick Rose,3376277
Kevin Durant,3150648
Paul George,3122346
James Harden,2905488
Joel Embiid,2783833
Anthony Davis,2520728
Russell Westbrook,2512374
Dwyane Wade,2208598
Steven Adams,1779073
Klay Thompson,1578140
Nikola Jokić,1445989
Kemba Walker,1395330
Ben Simmons,1184221
Kyle Kuzma,1155582
Damian Lillard,1043785
DeMar DeRozan,1039658
Jayson Tatum,1002885
Lonzo Ball,961488
Draymond Green,958761
Victor Oladipo,948260
Kyle Lowry,931460
Jimmy Butler,907775
Blake Griffin,843785
DeMarcus Cousins,691722
Vince Carter,540939
Chris Paul,520453
Zach LaVine,519746
Pascal Siakam,506199
Karl-Anthony Towns,501401
Goran Dragić,482214
Devin Booker,475535
Clint Capela,467048
LaMarcus Aldridge,463118
Jeremy Lin,449166
Brandon Ingram,447996
Donovan Mitchell,417390
Gordon Hayward,412018
Dirk Nowitzki,394622
Al Horford,360988
De'Aaron Fox,358582
Serge Ibaka,348217
Bradley Beal,346027
JaVale McGee,316015
Andre Drummond,264473
Jamal Murray,260655
Danilo Gallinari,259799
Nikola Vučević,255487
Bogdan Bogdanović,243440
Dennis Schröder,239671
Khris Middleton,238103
Jerami Grant,238095
Andre Iguodala,234866
D'Angelo Russell,222499
Danny Green,220816
Rajon Rondo,220466
Tobias Harris,219184
Jaylen Brown,213401
Josh Hart,209425
CJ McCollum,205182
Carmelo Anthony,202117
Rudy Gobert,196040
Jordan Clarkson,191853
Kevin Love,191230
Marcus Morris,190006
DeAndre Jordan,173516
John Wall,169032
Eric Gordon,165649
Eric Bledsoe,164441
Lance Stephenson,150510
P.J. Tucker,149798
Brook Lopez,147667
Domantas Sabonis,144248
Malcolm Brogdon,142966
Buddy Hield,141994
Mike Conley,141683
Lauri Markkanen,139747
Jusuf Nurkić,131459
Jonas Jerebko,125647
Boban Marjanović,123533
Andrew Wiggins,123527
Rudy Gay,122988
J.J. Redick,122738
Marcus Smart,122200
Bojan Bogdanović,122143
Nemanja Bjelica,121732
Hassan Whiteside,119122
Spencer Dinwiddie,115054
Jonas Valančiūnas,114827
Trae Young,106790
Marco Belinelli,104675
Gerald Green,103557
Marc Gasol,102405
Cedi Osman,101593
Fred VanVleet,101147
Deandre Ayton,101143
Kostas Antetokounmpo,98369
Ivica Zubac,97263
Aaron Gordon,94489
Jarrett Allen,94421
Jrue Holiday,93873
Kevon Looney,91374
Dennis Smith Jr.,90268
Kristaps Porziņģis,89334
Myles Turner,89023
Shaun Livingston,88964
Lou Williams,83791
Mo Bamba,81319
Terry Rozier,79584
Ricky Rubio,78842
Tyson Chandler,78740
Joe Ingles,77335
Tony Parker,77056
Kentavious Caldwell-Pope,76553
Jordan Bell,73082
Álex Abrines,73043
Terrance Ferguson,72501
Nerlens Noel,72361
Pau Gasol,71195
Enes Freedom,70621
Gary Harris,70131
OG Anunoby,69500
Harrison Barnes,69434
Quinn Cook,69321
Tim Hardaway Jr.,68310
Miloš Teodosić,65564
J.J. Barea,65274
Paul Millsap,63365
Robert Covington,62266
Austin Rivers,62225
Furkan Korkmaz,61306
Josh Richardson,61287
Hamidou Diallo,56551
Michael Beasley,55823
John Collins,55563
Bryn Forbes,54302
Ersan İlyasova,53653
Dāvis Bertāns,52192
Patty Mills,50432
Dwight Howard,50356
Tristan Thompson,49756
Aron Baynes,49545
Seth Curry,49447
Justise Winslow,49421
Kyle Korver,48710
Julius Randle,48268
Juancho Hernangómez,47464
Montrezl Harrell,47205
